fname,filtered_sound,mfcc
normal_noisynormal_146_1306778707532_D.wav,"[ 0.0002121  -0.00033449 -0.00087211 ...  0.00616389  0.0055277
  0.00489559]","[[-5.16309712e+02 -5.05234045e+02 -4.48318568e+02 ... -5.21848570e+02
  -5.17170510e+02 -5.10376611e+02]
 [ 1.39202809e+02  1.51400460e+02  2.21136291e+02 ...  1.31613227e+02
   1.35663197e+02  1.34465326e+02]
 [ 7.81596188e+01  8.22109195e+01  1.25242105e+02 ...  7.09002911e+01
   7.03017059e+01  5.85366542e+01]
 ...
 [ 3.02544077e+00  3.54732652e-01 -8.91169410e+00 ... -1.70106388e-01
   2.93870713e+00  2.05862174e+00]
 [ 4.26423241e+00  1.71676945e+00 -1.97460606e+00 ... -1.63730079e-01
   3.45899788e+00 -8.76141987e-02]
 [ 1.81318107e+00  1.25074583e+00  4.18694614e+00 ...  4.08194785e-02
   9.00430298e-01 -4.61268104e-01]]"
normal_noisynormal_147_1306523973811_B.wav,"[ 0.02287572  0.02397838  0.02509164 ... -0.01896119 -0.01805623
 -0.0171971 ]","[[-3.82078441e+02 -4.04601246e+02 -4.18386748e+02 ... -4.37529889e+02
  -4.40994570e+02 -4.24494633e+02]
 [ 1.43558025e+02  1.53457271e+02  1.48250517e+02 ...  1.23628195e+02
   1.19384396e+02  1.27890751e+02]
 [ 5.34898256e+01  8.77978616e+01  1.02867330e+02 ...  8.47259786e+01
   8.20540627e+01  7.03349974e+01]
 ...
 [ 2.66981889e+00  1.56447204e+00 -2.62813782e+00 ... -1.91425663e+00
  -5.36067466e-01  2.07569381e+00]
 [-4.25062002e-02 -4.21973981e-01 -5.48404827e+00 ... -6.52006780e+00
  -4.66803788e+00 -2.66656951e+00]
 [-3.12859544e+00 -2.11965028e+00 -4.06773667e+00 ... -7.43614446e+00
  -5.32030945e+00 -5.77259544e+00]]"
normal_noisynormal_149_1306776016110_A.wav,"[ 0.00468518  0.00524909  0.00574146 ... -0.01324274 -0.01148468
 -0.00966001]","[[-4.54252587e+02 -4.38586981e+02 -4.34484402e+02 ... -4.37757138e+02
  -4.35763989e+02 -4.26840157e+02]
 [ 1.17247596e+02  1.34667927e+02  1.39892410e+02 ...  1.47101393e+02
   1.48840025e+02  1.51268142e+02]
 [ 4.77899510e+01  5.45582316e+01  5.84834804e+01 ...  8.91162383e+01
   8.88149581e+01  7.66712524e+01]
 ...
 [ 3.44195348e+00  4.89155989e-03  1.66534736e+00 ...  3.98521939e+00
   1.51237292e-01 -1.59790455e+00]
 [ 9.45696476e+00  7.66328911e+00  6.64169602e+00 ...  2.34644060e+00
  -2.35551824e-01 -2.27147413e+00]
 [ 1.00707641e+01  1.05106594e+01  8.08669284e+00 ... -1.50821190e+00
  -2.41631135e+00 -3.77064985e+00]]"
normal_noisynormal_150_1306776340746_A.wav,"[-0.00316731 -0.00306744 -0.00297762 ... -0.02295852 -0.02135581
 -0.01971247]","[[-4.41248460e+02 -4.26502343e+02 -4.23699210e+02 ... -4.00612436e+02
  -4.04289910e+02 -3.94689928e+02]
 [ 1.45058200e+02  1.62270242e+02  1.65680017e+02 ...  1.91122713e+02
   1.86626627e+02  1.82987942e+02]
 [ 9.44995683e+01  1.02913473e+02  1.05008667e+02 ...  1.14003979e+02
   1.11023999e+02  8.93284184e+01]
 ...
 [ 2.63878335e+00  4.16820181e+00  3.79285956e+00 ... -7.84835485e+00
  -1.16672886e+01 -9.83984781e+00]
 [ 2.75178877e-01 -4.63309184e-01 -1.99986026e+00 ... -7.32882601e+00
  -1.05416109e+01 -9.53615355e+00]
 [-3.12174597e-01 -2.43114209e+00 -5.44397436e+00 ... -3.43077775e+00
  -3.98230587e+00 -4.89642011e+00]]"
normal_noisynormal_151_1306779785624_C.wav,"[-0.02206022 -0.02248387 -0.02289812 ...  0.00458521  0.00639782
  0.0082407 ]","[[-3.75293179e+02 -4.08310618e+02 -4.42185626e+02 ... -4.55894982e+02
  -4.38577413e+02 -4.16164836e+02]
 [ 1.55278782e+02  1.95538604e+02  2.08306542e+02 ...  1.88339687e+02
   2.04630716e+02  1.96474052e+02]
 [ 4.37010971e+01  6.52812516e+01  1.04821196e+02 ...  8.52700510e+01
   8.54356656e+01  5.42777364e+01]
 ...
 [ 5.94070933e+00  6.65583367e-01  1.46628344e+00 ... -1.60951880e+00
   4.17998083e-01  1.74892255e+00]
 [ 1.47157113e+00  2.02227728e-01  8.70117664e+00 ...  5.62607787e+00
   4.99922295e+00  3.81729590e+00]
 [-6.30146134e-01  2.53304148e+00  1.03915418e+01 ...  6.20370814e+00
   2.91365142e+00  3.97758709e+00]]"
normal_noisynormal_154_1306935608852_C.wav,"[-0.00299969 -0.0024047  -0.00182934 ...  0.01976412  0.01528419
  0.01066849]","[[-4.66395020e+02 -4.58902124e+02 -4.65126848e+02 ... -4.53144005e+02
  -4.42410217e+02 -4.14085098e+02]
 [ 1.24826931e+02  1.34328701e+02  1.26041827e+02 ...  1.41892627e+02
   1.51703274e+02  1.64522827e+02]
 [ 7.66668507e+01  8.32471771e+01  7.63696683e+01 ...  8.90420883e+01
   8.93423266e+01  6.70678414e+01]
 ...
 [ 5.93609702e+00  7.65717377e+00  6.79140553e+00 ... -6.72931745e-01
   4.44906358e+00  5.79964407e+00]
 [ 6.69446564e+00  4.30231409e+00  2.90975374e+00 ... -3.79314089e+00
   8.03469583e-02  2.99734226e+00]
 [ 7.39333104e+00  3.28848620e+00  2.42055344e+00 ... -2.98689946e+00
  -3.93998494e+00 -7.44463216e-01]]"
normal_noisynormal_155_1306935902813_A.wav,"[ 0.00697787  0.00686414  0.00674773 ... -0.00688463 -0.00678899
 -0.0067005 ]","[[-4.69405845e+02 -4.64757826e+02 -4.59007190e+02 ... -4.75629117e+02
  -4.72172101e+02 -4.65074592e+02]
 [ 1.47653442e+02  1.67026380e+02  1.75477007e+02 ...  1.57847978e+02
   1.60509641e+02  1.52658112e+02]
 [ 7.12238879e+01  9.67316346e+01  1.03943086e+02 ...  9.95001559e+01
   9.74221806e+01  6.99974002e+01]
 ...
 [ 7.14977979e+00  1.84292045e+00  3.03273858e+00 ...  7.77703725e+00
   6.17093717e+00  2.43757384e+00]
 [ 3.56596842e+00  2.89810914e+00  3.41317785e+00 ...  6.95013476e+00
   6.66573413e+00  4.06813088e+00]
 [ 1.08433681e-02  4.43820775e+00  6.24821920e+00 ...  7.09722310e+00
   7.27143478e+00  5.84660504e+00]]"
normal_noisynormal_155_1306935902813_C.wav,"[ 0.01909664  0.02138598  0.02369377 ... -0.01117474 -0.00985581
 -0.00853461]","[[-395.19242133 -404.33650241 -405.07105792 ... -417.48226415
  -411.9308068  -421.73254649]
 [ 134.47497614  142.98633709  143.5790042  ...  125.09398089
   130.75620789  120.38003475]
 [  62.06374594   86.51275629   88.01813036 ...   70.17004135
    71.62088446   69.08240836]
 ...
 [  16.50206374   10.02597995    1.4331389  ...    2.30439614
     8.70348924    9.5088444 ]
 [  16.0575368     8.15070253    1.97826059 ...   -1.86558489
     6.0440425     7.98895087]
 [  12.11086237    5.98240596    4.09273831 ...   -4.12716581
     1.02523789    4.11927516]]"
normal_noisynormal_157_1306937583792_A.wav,"[ 0.00976639  0.00871631  0.00767997 ... -0.01732845 -0.0153087
 -0.01324055]","[[-4.71458456e+02 -4.95301127e+02 -5.33678729e+02 ... -5.25321222e+02
  -4.88944274e+02 -4.27172331e+02]
 [ 1.27923830e+02  1.79983785e+02  1.99620910e+02 ...  2.11161251e+02
   2.25502270e+02  1.69014604e+02]
 [ 2.81526708e+01  5.52729433e+01  9.26606851e+01 ...  1.01073237e+02
   8.60794866e+01  5.52547624e+01]
 ...
 [ 5.33198624e+00  5.84749967e+00  8.08983126e+00 ...  1.45926373e+00
   8.65090362e-01  6.23592722e+00]
 [ 4.21806532e+00  4.52236846e+00  1.04876298e+01 ...  4.52461826e-01
  -3.22684078e+00  1.24421089e+00]
 [ 4.29375150e+00  1.30560155e+00  3.41620767e+00 ... -3.65303276e+00
  -5.51378809e+00 -3.07275945e+00]]"
normal_noisynormal_157_1306937583792_B.wav,"[-0.0099236  -0.01032879 -0.0107377  ... -0.00762938 -0.00633318
 -0.00503621]","[[-4.59083192e+02 -4.79535133e+02 -4.99596685e+02 ... -5.05215345e+02
  -5.03177689e+02 -4.95079382e+02]
 [ 1.53023755e+02  1.71367791e+02  1.61182566e+02 ...  1.52067006e+02
   1.55293915e+02  1.54328702e+02]
 [ 5.13597374e+01  7.65343026e+01  8.72741198e+01 ...  7.64443488e+01
   8.02110799e+01  6.62445084e+01]
 ...
 [ 9.06354756e+00  1.07739087e+01  6.04446251e+00 ...  4.26512327e+00
   1.49860808e+00 -1.45904926e+00]
 [ 2.63355933e+00  6.26535133e+00  3.71912904e+00 ...  4.15931684e+00
   6.81309647e-01 -5.78109755e+00]
 [-3.10974749e+00  3.60896019e-02 -9.11329944e-01 ...  1.02645855e+00
   1.00063326e-02 -5.43735414e+00]]"
normal_noisynormal_158_1306947254705_B1.wav,[0.00554726 0.005794   0.00602977 ... 0.03875827 0.03328054 0.02767593],"[[-4.56597573e+02 -3.99016088e+02 -3.89416330e+02 ... -4.79835059e+02
  -4.39483328e+02 -3.71136836e+02]
 [ 1.54990450e+02  2.25404879e+02  2.37450088e+02 ...  1.31434546e+02
   1.47673683e+02  1.44397438e+02]
 [ 9.14763688e+01  1.31127908e+02  1.39368651e+02 ...  8.54792643e+01
   5.53436505e+01  3.81811384e+01]
 ...
 [ 5.23331884e+00  2.52927899e+00 -3.80132579e-01 ...  8.42250585e+00
   7.98163791e+00  5.98414092e+00]
 [ 8.89299478e-01  2.50566029e+00 -7.70700001e-02 ...  5.18437536e+00
   4.90116113e+00  4.37147018e+00]
 [ 2.54118240e+00  8.77220265e+00  6.88315269e+00 ...  7.31670040e+00
   4.29275117e+00  2.68799113e+00]]"
normal_noisynormal_158_1306947254705_D.wav,"[ 0.00679992  0.00727856  0.00775777 ... -0.01114967 -0.00987365
 -0.0085522 ]","[[-4.99258872e+02 -5.02728746e+02 -5.01082124e+02 ... -5.11218250e+02
  -5.17390962e+02 -4.93925388e+02]
 [ 1.41282520e+02  1.67709861e+02  1.76470473e+02 ...  1.66113795e+02
   1.57970968e+02  1.57091609e+02]
 [ 4.94396771e+01  8.88151190e+01  1.03918741e+02 ...  1.02508206e+02
   9.57443502e+01  6.13770628e+01]
 ...
 [ 3.72936830e+00  2.13742225e+00 -8.62205515e-01 ...  6.14036332e-01
  -1.59246765e+00 -7.35177279e-01]
 [ 9.60138441e-01 -2.77793339e-01 -2.19757006e+00 ...  4.42988014e+00
   1.72234814e+00 -3.08362109e-01]
 [-1.17083761e+00  3.23195235e-01 -2.12140061e-01 ...  8.75345664e+00
   5.36737553e+00  3.08390872e+00]]"
normal_noisynormal_159_1307018640315_A1.wav,[0.00298179 0.00301247 0.00301854 ... 0.00404947 0.0039598  0.00385   ],"[[-4.64022725e+02 -4.50319858e+02 -4.47819243e+02 ... -4.34449655e+02
  -4.35315876e+02 -4.38735823e+02]
 [ 1.10523590e+02  1.26159516e+02  1.28615184e+02 ...  1.44150354e+02
   1.43377128e+02  1.39687738e+02]
 [ 7.47159868e+01  8.11335658e+01  8.08913735e+01 ...  8.81064572e+01
   8.85848501e+01  8.74122240e+01]
 ...
 [ 1.01826860e+01  6.55227256e+00  7.86861657e+00 ...  4.49712141e+00
   4.60483836e+00  5.40266534e+00]
 [ 5.66545740e+00  2.15097247e-01  1.25593623e+00 ...  3.87139680e+00
   4.71570427e+00  3.61157887e+00]
 [ 4.04517853e+00  2.62857551e-02 -2.06809918e-01 ...  7.10123164e+00
   6.75126110e+00  3.55408657e+00]]"
normal_noisynormal_159_1307018640315_B.wav,[0.01025102 0.01010232 0.00997601 ... 0.03131759 0.02687806 0.02231214],"[[-4.09830259e+02 -4.05343125e+02 -3.64538984e+02 ... -4.18124713e+02
  -4.03564168e+02 -3.79938063e+02]
 [ 1.20426091e+02  1.28487171e+02  1.79560884e+02 ...  1.17634899e+02
   1.28039729e+02  1.32847305e+02]
 [ 6.91058433e+01  7.79984520e+01  1.11951620e+02 ...  8.27858541e+01
   7.44305392e+01  4.84202741e+01]
 ...
 [ 2.96522242e+00  3.76066702e+00 -3.46831873e+00 ...  5.52072926e+00
   5.73893408e+00  3.73758806e+00]
 [-3.27850503e+00 -6.00315638e-02 -5.93020302e+00 ... -2.69928302e+00
   1.53644295e+00  2.24429511e+00]
 [-2.92119263e+00 -1.75113969e-01 -2.85889012e+00 ... -5.77663324e+00
  -9.15816481e-01  2.81227538e+00]]"
normal_noisynormal_163_1307104470471_D1.wav,[0.01531751 0.01483407 0.01438854 ... 0.00290831 0.00264752 0.00237704],"[[-4.23303113e+02 -4.49960877e+02 -4.61502606e+02 ... -4.73347179e+02
  -4.77173768e+02 -4.88805088e+02]
 [ 1.40452205e+02  1.56111312e+02  1.59731173e+02 ...  1.45198427e+02
   1.39653528e+02  1.25134660e+02]
 [ 4.35175698e+01  7.59903801e+01  1.01396799e+02 ...  9.23556759e+01
   8.64356687e+01  7.66547120e+01]
 ...
 [ 5.94510651e+00  6.66436274e+00  2.52026532e-01 ...  5.78222363e+00
   3.27897564e+00  5.92322190e+00]
 [ 3.64235062e+00  3.41833398e+00 -4.76449512e+00 ...  1.58285696e+00
  -2.49753072e+00  8.03177431e-01]
 [ 2.00955656e+00  1.31407471e+00 -6.22024780e+00 ...  2.95745547e-01
  -2.80372841e+00 -2.21848340e-01]]"
normal_noisynormal_167_1307111318050_A1.wav,[0.00559605 0.005572   0.00554566 ... 0.00589608 0.00583565 0.00581259],"[[-4.74166715e+02 -4.08591130e+02 -2.99813031e+02 ... -4.45041761e+02
  -4.52895043e+02 -4.57136601e+02]
 [ 1.26037407e+02  1.96573699e+02  3.01288458e+02 ...  1.65551247e+02
   1.56679270e+02  1.47864216e+02]
 [ 6.86689320e+01  8.95329731e+01  9.97553460e+01 ...  9.87081623e+01
   9.49353232e+01  8.20836572e+01]
 ...
 [ 1.28397643e+01 -1.28034841e+00  1.16123159e+01 ...  2.09342243e+00
   4.09818600e+00  9.76002331e+00]
 [ 5.29949200e+00  2.88930512e-01  3.99167274e+00 ... -3.19161229e-01
   1.10049163e+00  6.53110861e+00]
 [ 1.97699421e+00 -3.05949260e+00 -6.76169226e+00 ... -4.84887745e-01
   1.58827344e-01  3.94223436e+00]]"
normal_noisynormal_167_1307111318050_B.wav,"[ 4.91083474e-03  4.38734762e-03  3.84366205e-03 ... -1.48155126e-03
 -5.31984733e-05  1.43514563e-03]","[[-440.79226086 -443.8291586  -466.95077603 ... -467.55833833
  -464.58731753 -463.81448693]
 [ 186.90948405  187.50911496  157.33183463 ...  155.28637451
   159.39321643  158.39287342]
 [ 107.13099154  112.66354049   88.97395221 ...   85.06820588
    89.04924841   85.40988383]
 ...
 [   6.42374949    4.56838542    5.69802463 ...    2.46901229
     6.05391698   10.64356399]
 [  -1.55449692   -0.51170953    3.48238676 ...    2.81827983
     4.36037143    2.91646577]
 [  -6.63359803   -3.57933645    3.23736283 ...    2.44195402
     2.78322837   -2.64990195]]"
normal_noisynormal_168_1307970069434_A1.wav,"[ 0.00193798  0.00241091  0.00283056 ... -0.01370646 -0.01249139
 -0.01133091]","[[-4.72923131e+02 -4.60622966e+02 -4.50370778e+02 ... -4.45203206e+02
  -4.43698208e+02 -4.30895078e+02]
 [ 1.55708978e+02  1.69803319e+02  1.85688219e+02 ...  1.84795472e+02
   1.86741573e+02  1.69238002e+02]
 [ 8.24792719e+01  8.88887390e+01  1.06990035e+02 ...  8.99482827e+01
   9.18134124e+01  5.91781204e+01]
 ...
 [ 6.20400674e+00  1.33192205e+00  4.70626409e+00 ...  1.08146433e+00
  -1.91761887e+00  4.16425836e+00]
 [ 6.04049153e+00  3.93419119e+00  4.87123336e+00 ...  5.93536379e+00
   2.25671896e-01 -6.38048895e-01]
 [ 3.29317709e+00  4.55153889e+00  6.25640052e+00 ...  7.13842373e+00
   3.48666339e+00  1.30867714e+00]]"
normal_noisynormal_169_1307970398039_A.wav,"[-0.00698508 -0.00814407 -0.00924307 ...  0.01788365  0.0142819
  0.01053211]","[[-474.45837718 -485.4907853  -490.3290657  ... -472.64155301
  -468.41468924 -437.98417244]
 [ 167.10225594  181.09543343  183.1301855  ...  200.10091927
   195.94841991  178.64141603]
 [  56.09526796   84.4427645    98.40494659 ...   97.82118719
    83.86776856   43.27688685]
 ...
 [   7.17684709    3.91252822    9.55622945 ...    7.43898588
     8.80969651    8.60818622]
 [   3.8612787     1.06998563   10.14226918 ...   12.54063462
     6.94295416    4.79705448]
 [   0.56290228   -0.64654494    5.8390562  ...    8.57209654
     2.64345454    1.59992177]]"
normal_noisynormal_170_1307970562729_C1.wav,"[-0.01733261 -0.01911737 -0.02081308 ...  0.02400844  0.0211811
  0.01835405]","[[-3.59078818e+02 -3.54915486e+02 -3.29806008e+02 ... -3.90707854e+02
  -3.91567757e+02 -3.81756316e+02]
 [ 1.36229364e+02  1.45288432e+02  1.70416127e+02 ...  1.06518125e+02
   1.05979503e+02  1.12264945e+02]
 [ 6.73925313e+01  7.92516099e+01  8.53671827e+01 ...  6.70449203e+01
   6.80495278e+01  6.20193329e+01]
 ...
 [ 7.43752207e+00  8.32776853e-01 -2.66803162e+00 ...  3.57290778e+00
   3.86348295e+00  7.27174780e+00]
 [ 3.60426268e+00  1.90326462e+00  7.95251621e-01 ...  1.72021648e+00
   2.53420769e+00  2.47206989e+00]
 [ 2.90641545e+00  3.08663236e+00 -7.91303426e-01 ...  3.15998444e+00
   3.53390867e+00  2.87253920e-01]]"
normal_noisynormal_172_1307971284351_A.wav,[0.00405418 0.00338639 0.00272898 ... 0.00892658 0.00785906 0.00680648],"[[-497.05998958 -503.10767109 -507.91496009 ... -505.43044566
  -517.75912852 -482.327119  ]
 [ 190.98620903  217.6831716   222.26633394 ...  228.99376811
   213.21316527  194.95369005]
 [  56.27381226   80.66783864   96.10053672 ...  106.89063513
    95.86767636   59.90491536]
 ...
 [   2.72197659    5.38926615    8.37625052 ...    3.27914159
     4.12991964    3.19806416]
 [   6.29068294   10.04245483   13.31090369 ...    8.95747831
    11.75365595    7.4240106 ]
 [   8.42018334    7.9773474     7.95740459 ...    5.23934311
    11.40002315   10.16999017]]"
normal_noisynormal_173_1307973611151_B.wav,"[-0.03112852 -0.03176302 -0.03238791 ... -0.02284929 -0.02195468
 -0.02112379]","[[-366.00537237 -388.06337279 -404.62613919 ... -394.24991241
  -393.78402623 -384.66604115]
 [ 118.48459149  123.23883096  111.53510006 ...  124.08794922
   124.08545071  128.48095943]
 [  38.37929245   68.65520981   75.4505153  ...   82.04675134
    80.73364846   71.78686606]
 ...
 [   9.81568323    9.29948281    7.96627311 ...   12.02701808
     9.1864552     9.54081144]
 [  10.08289263    7.24772923    6.97295225 ...    3.2798176
     1.91129339    1.84237489]
 [   8.90062623    5.68083667    6.42660675 ...   -0.59712319
     0.93000213   -0.83298925]]"
normal_noisynormal_173_1307973611151_C1.wav,[0.01412096 0.01443265 0.01469116 ... 0.00251315 0.00393153 0.00543755],"[[-3.78659588e+02 -3.77510232e+02 -3.89534628e+02 ... -3.49692658e+02
  -3.66641406e+02 -3.92350797e+02]
 [ 1.37404009e+02  1.44589139e+02  1.32162591e+02 ...  1.74289324e+02
   1.56479777e+02  1.25991910e+02]
 [ 7.59008807e+01  8.97129927e+01  8.72989344e+01 ...  9.86345261e+01
   9.38791767e+01  7.67008654e+01]
 ...
 [ 6.13796745e+00  3.26186527e+00  4.40157554e+00 ...  7.17433329e+00
   8.45803530e+00  1.28331521e+01]
 [ 3.77886050e+00  1.82505200e+00  3.68007400e-01 ...  3.61925530e+00
   5.47896549e+00  8.70504214e+00]
 [ 4.76032739e+00  4.53746580e+00  2.12922841e+00 ... -1.70316199e+00
   1.43461149e+00  4.46975155e+00]]"
normal_noisynormal_176_1307988171173_D.wav,"[-0.0028498  -0.00282027 -0.00282386 ...  0.01707871  0.01586572
  0.01471016]","[[-4.75717289e+02 -4.59499801e+02 -4.59198845e+02 ... -4.26624131e+02
  -4.28187574e+02 -4.12743298e+02]
 [ 1.57980891e+02  1.74830355e+02  1.74151846e+02 ...  2.18908969e+02
   2.04000090e+02  1.65145106e+02]
 [ 8.53937918e+01  8.92100540e+01  8.60822275e+01 ...  1.24984439e+02
   9.45855451e+01  5.42101610e+01]
 ...
 [-1.36307893e+01 -8.40308553e+00 -1.96198797e+00 ... -3.66327385e+00
   3.55723463e+00  3.79235347e+00]
 [-8.35104221e+00 -3.48374037e+00  2.50665550e+00 ...  2.33254965e+00
   5.31612457e+00  2.25082879e-01]
 [-3.37578044e+00 -1.43698686e+00  1.78531546e+00 ...  8.46081305e+00
   9.74401736e+00  2.60948255e+00]]"
